sku_id,product_id,seller_sku,variation_name,variation_value,price,cost,weight,status,created_at,is_mock_data
SKU00028,PROD0012,CAT004-0012-03,Color,Style 3,373804.90,265194.88,1.679,active,2025-08-22T15:03:00+08:00,true
SKU00029,PROD0013,CAT005-0013-01,Thickness,8mm,71.39,39.44,1.172,active,2025-07-24T04:01:00+08:00,true
SKU00030,PROD0013,CAT005-0013-02,Thickness,6mm,67.59,41.29,1.037,active,2025-07-24T04:02:00+08:00,true
SKU00031,PROD0013,CAT005-0013-03,Thickness,Style 3,66.28,41.67,1.771,active,2025-07-24T04:03:00+08:00,true
SKU00032,PROD0014,CAT006-0014-01,Color,Blue,84.22,54.17,2.038,inactive,2025-08-15T03:01:00+08:00,true
SKU00033,PROD0014,CAT006-0014-02,Color,Orange,94.30,56.94,0.486,inactive,2025-08-15T03:02:00+08:00,true
SKU00034,PROD0014,CAT006-0014-03,Color,Style 3,87.55,54.80,1.631,inactive,2025-08-15T03:03:00+08:00,true
SKU00035,PROD0014,CAT006-0014-04,Color,Style 4,95.61,54.05,1.420,inactive,2025-08-15T03:04:00+08:00,true
SKU00036,PROD0015,CAT007-0015-01,Capacity,500ml,2198.83,1016.63,0.572,active,2025-09-16T08:01:00+08:00,true
SKU00037,PROD0015,CAT007-0015-02,Capacity,250ml,2304.19,928.01,2.085,active,2025-09-16T08:02:00+08:00,true
SKU00038,PROD0015,CAT007-0015-03,Capacity,Style 3,2026.54,981.01,2.114,active,2025-09-16T08:03:00+08:00,true
SKU00039,PROD0015,CAT007-0015-04,Capacity,Style 4,2224.01,1025.06,1.376,active,2025-09-16T08:04:00+08:00,true
SKU00040,PROD0016,CAT008-0016-01,Pack,8 Pack,1633.19,1016.54,2.235,active,2025-02-24T05:01:00+08:00,true
SKU00041,PROD0016,CAT008-0016-02,Pack,16 Pack,1606.71,1032.62,1.563,active,2025-02-24T05:02:00+08:00,true
SKU00042,PROD0016,CAT008-0016-03,Pack,Style 3,1490.41,1072.35,0.715,active,2025-02-24T05:03:00+08:00,true
SKU00043,PROD0016,CAT008-0016-04,Pack,Style 4,1610.66,1066.59,2.178,active,2025-02-24T05:04:00+08:00,true
SKU00044,PROD0017,CAT001-0017-01,Ports,8-in-1,1513775.18,719977.35,2.115,active,2025-05-17T10:01:00+08:00,true
SKU00045,PROD0017,CAT001-0017-02,Ports,6-in-1,1432398.55,779672.66,2.194,active,2025-05-17T10:02:00+08:00,true
SKU00046,PROD0017,CAT001-0017-03,Ports,Style 3,1341406.94,695610.63,1.722,active,2025-05-17T10:03:00+08:00,true
SKU00047,PROD0018,CAT002-0018-01,Color,Beige,632252.44,344893.94,2.452,active,2025-01-29T11:01:00+08:00,true
SKU00048,PROD0018,CAT002-0018-02,Color,Pink,618527.75,376671.93,1.423,active,2025-01-29T11:02:00+08:00,true
SKU00049,PROD0018,CAT002-0018-03,Color,Blue,702973.71,362137.01,1.999,active,2025-01-29T11:03:00+08:00,true
SKU00050,PROD0018,CAT002-0018-04,Color,Style 4,669442.39,366994.29,1.463,active,2025-01-29T11:04:00+08:00,true
SKU00051,PROD0019,CAT003-0019-01,Color,Clear,57.51,29.48,0.500,active,2025-12-07T10:01:00+08:00,true
SKU00052,PROD0019,CAT003-0019-02,Color,Pastel,50.95,29.25,2.047,active,2025-12-07T10:02:00+08:00,true
SKU00053,PROD0020,CAT004-0020-01,Color,Navy,109.14,81.14,2.114,active,2025-11-11T09:01:00+08:00,true
SKU00054,PROD0020,CAT004-0020-02,Color,Brown,110.97,89.22,1.669,active,2025-11-11T09:02:00+08:00,true
SKU00055,PROD0020,CAT004-0020-03,Color,Style 3,131.40,82.67,2.223,active,2025-11-11T09:03:00+08:00,true
SKU00056,PROD0021,CAT005-0021-01,Size,L-XL,1334.27,742.75,1.936,active,2026-02-21T21:01:00+08:00,true
SKU00057,PROD0021,CAT005-0021-02,Size,S-M,1371.53,779.95,0.239,active,2026-02-21T21:02:00+08:00,true
SKU00058,PROD0021,CAT005-0021-03,Size,Style 3,1325.08,752.03,0.570,active,2026-02-21T21:03:00+08:00,true
SKU00059,PROD0022,CAT006-0022-01,Color,Blue,332.56,152.23,0.587,active,2025-02-17T00:01:00+08:00,true
SKU00060,PROD0022,CAT006-0022-02,Color,Orange,352.53,159.29,0.925,inactive,2025-02-17T00:02:00+08:00,true
SKU00061,PROD0022,CAT006-0022-03,Color,Style 3,290.47,159.61,1.813,inactive,2025-02-17T00:03:00+08:00,true
SKU00062,PROD0023,CAT007-0023-01,Plug,UK,1734056.78,872323.74,1.266,active,2025-09-06T20:01:00+08:00,true
SKU00063,PROD0023,CAT007-0023-02,Plug,EU,1504447.05,824569.20,1.884,active,2025-09-06T20:02:00+08:00,true
SKU00064,PROD0024,CAT008-0024-01,Color,Blue,514639.39,284104.22,0.121,active,2026-01-05T08:01:00+08:00,true
SKU00065,PROD0024,CAT008-0024-02,Color,Beige,616973.77,278403.67,0.885,active,2026-01-05T08:02:00+08:00,true
SKU00066,PROD0025,CAT001-0025-01,Color,Blue,79.39,54.37,0.382,active,2025-09-07T03:01:00+08:00,true
SKU00067,PROD0025,CAT001-0025-02,Color,Black,75.42,50.97,2.452,active,2025-09-07T03:02:00+08:00,true
SKU00068,PROD0025,CAT001-0025-03,Color,White,76.26,53.01,0.682,active,2025-09-07T03:03:00+08:00,true
SKU00069,PROD0025,CAT001-0025-04,Color,Style 4,77.36,49.31,0.379,active,2025-09-07T03:04:00+08:00,true
SKU00070,PROD0026,CAT002-0026-01,Pack,5 Pack,50.85,29.97,1.754,active,2025-07-20T04:01:00+08:00,true
SKU00071,PROD0026,CAT002-0026-02,Pack,10 Pack,50.68,30.68,0.323,active,2025-07-20T04:02:00+08:00,true
SKU00072,PROD0026,CAT002-0026-03,Pack,Style 3,53.17,27.99,1.103,active,2025-07-20T04:03:00+08:00,true
SKU00073,PROD0026,CAT002-0026-04,Pack,Style 4,58.72,28.70,2.189,active,2025-07-20T04:04:00+08:00,true
SKU00074,PROD0027,CAT003-0027-01,Plug,EU,2354.63,1592.24,0.841,active,2025-02-24T23:01:00+08:00,true
SKU00075,PROD0027,CAT003-0027-02,Plug,UK,2626.08,1736.01,0.830,active,2025-02-24T23:02:00+08:00,true
SKU00076,PROD0028,CAT004-0028-01,Style,Sport,2571.10,1240.32,2.196,active,2025-08-25T09:01:00+08:00,true
SKU00077,PROD0029,CAT005-0029-01,Level,Medium,777631.56,377861.42,0.709,active,2025-04-22T19:01:00+08:00,true
SKU00078,PROD0029,CAT005-0029-02,Level,Light,848037.47,365226.79,0.566,active,2025-04-22T19:02:00+08:00,true
SKU00079,PROD0029,CAT005-0029-03,Level,Heavy,934640.31,365627.86,0.882,active,2025-04-22T19:03:00+08:00,true
SKU00080,PROD0030,CAT006-0030-01,Capacity,500ml,385998.04,260843.06,1.051,active,2026-04-08T12:01:00+08:00,true
SKU00081,PROD0030,CAT006-0030-02,Capacity,300ml,449713.81,238792.85,2.172,active,2026-04-08T12:02:00+08:00,true
SKU00082,PROD0030,CAT006-0030-03,Capacity,Style 3,457477.84,236791.24,1.154,active,2026-04-08T12:03:00+08:00,true
SKU00083,PROD0030,CAT006-0030-04,Capacity,Style 4,477718.09,237169.60,1.612,active,2026-04-08T12:04:00+08:00,true
SKU00084,PROD0031,CAT007-0031-01,Capacity,500ml,81.42,45.15,2.076,active,2026-04-02T04:01:00+08:00,true
SKU00085,PROD0031,CAT007-0031-02,Capacity,250ml,84.44,42.83,1.070,active,2026-04-02T04:02:00+08:00,true
SKU00086,PROD0032,CAT008-0032-01,Color,Beige,197.98,142.97,0.348,active,2025-12-29T15:01:00+08:00,true
SKU00087,PROD0032,CAT008-0032-02,Color,Pink,218.78,154.07,0.314,inactive,2025-12-29T15:02:00+08:00,true
SKU00088,PROD0032,CAT008-0032-03,Color,Blue,228.67,158.22,2.315,inactive,2025-12-29T15:03:00+08:00,true
SKU00089,PROD0033,CAT001-0033-01,Color,White,334.98,245.15,1.595,inactive,2025-05-23T12:01:00+08:00,true
SKU00090,PROD0034,CAT002-0034-01,Color,Beige,1384.12,877.11,2.416,active,2026-03-29T04:01:00+08:00,true
SKU00091,PROD0034,CAT002-0034-02,Color,Pink,1164.86,853.17,1.850,active,2026-03-29T04:02:00+08:00,true
SKU00092,PROD0035,CAT003-0035-01,Plug,UK,1317389.56,634009.91,0.367,active,2026-04-12T02:01:00+08:00,true
SKU00093,PROD0035,CAT003-0035-02,Plug,EU,1139879.70,637612.67,1.296,active,2026-04-12T02:02:00+08:00,true
SKU00094,PROD0035,CAT003-0035-03,Plug,Style 3,1297161.78,651107.52,0.689,active,2026-04-12T02:03:00+08:00,true
SKU00095,PROD0035,CAT003-0035-04,Plug,Style 4,1192901.68,652803.23,1.391,active,2026-04-12T02:04:00+08:00,true
SKU00096,PROD0036,CAT004-0036-01,Style,Sport,273703.93,118859.99,2.065,active,2025-07-25T07:01:00+08:00,true
SKU00097,PROD0036,CAT004-0036-02,Style,Classic,233444.97,118777.49,2.385,active,2025-07-25T07:02:00+08:00,true
SKU00098,PROD0036,CAT004-0036-03,Style,Style 3,255958.83,113289.10,1.674,active,2025-07-25T07:03:00+08:00,true
SKU00099,PROD0036,CAT004-0036-04,Style,Style 4,266099.35,120325.34,2.260,active,2025-07-25T07:04:00+08:00,true
SKU00100,PROD0037,CAT005-0037-01,Capacity,750ml,70.85,48.83,1.928,active,2026-04-27T05:01:00+08:00,true
SKU00101,PROD0038,CAT006-0038-01,Size,Large,223.70,156.65,0.836,active,2026-02-26T05:01:00+08:00,true
SKU00102,PROD0038,CAT006-0038-02,Size,Small,261.50,169.18,1.912,active,2026-02-26T05:02:00+08:00,true
SKU00103,PROD0038,CAT006-0038-03,Size,Style 3,264.70,166.59,1.966,active,2026-02-26T05:03:00+08:00,true
SKU00104,PROD0038,CAT006-0038-04,Size,Style 4,241.44,155.81,0.244,active,2026-02-26T05:04:00+08:00,true
SKU00105,PROD0039,CAT007-0039-01,Color,Silver,2655.76,1743.52,2.328,active,2025-12-09T15:01:00+08:00,true
SKU00106,PROD0039,CAT007-0039-02,Color,Black,2835.23,1850.91,0.431,active,2025-12-09T15:02:00+08:00,true
SKU00107,PROD0040,CAT008-0040-01,Color,Grey,1767.10,1233.80,1.561,active,2025-10-02T05:01:00+08:00,true
SKU00108,PROD0041,CAT001-0041-01,Capacity,20000mAh,1506819.69,821318.74,1.190,active,2025-06-08T08:01:00+08:00,true
SKU00109,PROD0041,CAT001-0041-02,Capacity,10000mAh,1418084.03,826830.63,1.214,active,2025-06-08T08:02:00+08:00,true
SKU00110,PROD0041,CAT001-0041-03,Capacity,Style 3,1270516.34,909663.10,0.772,active,2025-06-08T08:03:00+08:00,true
SKU00111,PROD0042,CAT002-0042-01,Size,Medium,598079.80,416336.77,1.622,active,2026-04-04T07:01:00+08:00,true
SKU00112,PROD0042,CAT002-0042-02,Size,Large,646733.03,401285.18,2.301,active,2026-04-04T07:02:00+08:00,true
SKU00113,PROD0042,CAT002-0042-03,Size,Small,583365.22,421047.03,0.249,active,2026-04-04T07:03:00+08:00,true
SKU00114,PROD0042,CAT002-0042-04,Size,Style 4,640099.17,408361.90,1.096,active,2026-04-04T07:04:00+08:00,true
SKU00115,PROD0043,CAT003-0043-01,Size,Compact,11.43,7.31,2.105,active,2025-08-11T16:01:00+08:00,true
SKU00116,PROD0043,CAT003-0043-02,Size,Large,10.74,6.95,1.305,active,2025-08-11T16:02:00+08:00,true
SKU00117,PROD0043,CAT003-0043-03,Size,Style 3,10.35,6.69,1.414,active,2025-08-11T16:03:00+08:00,true
SKU00118,PROD0043,CAT003-0043-04,Size,Style 4,11.15,7.10,0.560,active,2025-08-11T16:04:00+08:00,true
SKU00119,PROD0044,CAT004-0044-01,Color,Navy,60.15,44.18,1.521,active,2025-02-24T04:01:00+08:00,true
SKU00120,PROD0044,CAT004-0044-02,Color,Brown,58.12,43.83,0.776,active,2025-02-24T04:02:00+08:00,true
SKU00121,PROD0045,CAT005-0045-01,Thickness,6mm,2919.58,1819.43,0.684,active,2025-01-09T23:01:00+08:00,true
SKU00122,PROD0046,CAT006-0046-01,Size,Large,431.81,283.57,1.421,active,2025-04-01T06:01:00+08:00,true
SKU00123,PROD0046,CAT006-0046-02,Size,Small,451.68,300.84,0.143,active,2025-04-01T06:02:00+08:00,true
SKU00124,PROD0046,CAT006-0046-03,Size,Style 3,441.55,303.34,2.111,active,2025-04-01T06:03:00+08:00,true
SKU00125,PROD0046,CAT006-0046-04,Size,Style 4,372.05,276.22,0.299,active,2025-04-01T06:04:00+08:00,true
SKU00126,PROD0047,CAT007-0047-01,Color,Silver,1079253.36,592538.83,2.097,active,2025-04-03T12:01:00+08:00,true
SKU00127,PROD0047,CAT007-0047-02,Color,Black,1137574.39,609804.63,1.870,active,2025-04-03T12:02:00+08:00,true
SKU00128,PROD0047,CAT007-0047-03,Color,Style 3,1184067.92,612029.15,1.352,active,2025-04-03T12:03:00+08:00,true
SKU00129,PROD0048,CAT008-0048-01,Color,Black,776592.87,408546.70,1.594,active,2025-04-15T20:01:00+08:00,true
SKU00130,PROD0048,CAT008-0048-02,Color,Grey,768013.84,408742.78,0.683,active,2025-04-15T20:02:00+08:00,true
SKU00131,PROD0048,CAT008-0048-03,Color,Style 3,683257.51,430820.03,1.531,active,2025-04-15T20:03:00+08:00,true
SKU00132,PROD0049,CAT001-0049-01,Capacity,10000mAh,78.51,33.08,2.269,active,2026-03-29T02:01:00+08:00,true
SKU00133,PROD0049,CAT001-0049-02,Capacity,20000mAh,67.80,34.31,0.776,active,2026-03-29T02:02:00+08:00,true
SKU00134,PROD0049,CAT001-0049-03,Capacity,Style 3,67.08,33.40,1.744,active,2026-03-29T02:03:00+08:00,true
SKU00135,PROD0050,CAT002-0050-01,Pack,5 Pack,76.68,36.08,1.040,active,2025-12-09T13:01:00+08:00,true
SKU00136,PROD0050,CAT002-0050-02,Pack,10 Pack,76.48,34.62,2.221,active,2025-12-09T13:02:00+08:00,true
SKU00137,PROD0051,CAT003-0051-01,Size,Large,3946.66,2536.00,2.435,active,2025-11-27T05:01:00+08:00,true
SKU00138,PROD0051,CAT003-0051-02,Size,Compact,3473.85,2368.71,0.088,active,2025-11-27T05:02:00+08:00,true
SKU00139,PROD0052,CAT004-0052-01,Style,Classic,652.96,468.74,0.350,active,2026-02-05T20:01:00+08:00,true
SKU00140,PROD0053,CAT005-0053-01,Size,S-M,1244412.42,581751.30,1.396,active,2025-01-25T11:01:00+08:00,true
SKU00141,PROD0054,CAT006-0054-01,Size,Medium,452309.07,280661.09,1.781,active,2025-04-11T04:01:00+08:00,true
SKU00142,PROD0054,CAT006-0054-02,Size,Small,476842.39,277632.29,2.302,active,2025-04-11T04:02:00+08:00,true
SKU00143,PROD0054,CAT006-0054-03,Size,Style 3,530020.43,280852.62,1.605,active,2025-04-11T04:03:00+08:00,true
SKU00144,PROD0054,CAT006-0054-04,Size,Style 4,503033.26,274008.78,0.482,active,2025-04-11T04:04:00+08:00,true
SKU00145,PROD0055,CAT007-0055-01,Capacity,500ml,51.20,32.91,2.191,inactive,2025-08-13T15:01:00+08:00,true
SKU00146,PROD0055,CAT007-0055-02,Capacity,250ml,48.24,32.81,1.511,inactive,2025-08-13T15:02:00+08:00,true
SKU00147,PROD0056,CAT008-0056-01,Color,Grey,64.48,34.35,2.461,active,2025-12-06T08:01:00+08:00,true
SKU00148,PROD0056,CAT008-0056-02,Color,Green,69.54,35.77,1.890,active,2025-12-06T08:02:00+08:00,true
SKU00149,PROD0056,CAT008-0056-03,Color,Style 3,68.49,34.74,1.585,active,2025-12-06T08:03:00+08:00,true
SKU00150,PROD0056,CAT008-0056-04,Color,Style 4,61.25,37.39,2.041,active,2025-12-06T08:04:00+08:00,true
SKU00151,PROD0057,CAT001-0057-01,Capacity,20000mAh,1603.33,679.32,1.472,active,2025-08-12T23:01:00+08:00,true
SKU00152,PROD0057,CAT001-0057-02,Capacity,10000mAh,1577.56,704.29,0.979,active,2025-08-12T23:02:00+08:00,true
SKU00153,PROD0057,CAT001-0057-03,Capacity,Style 3,1577.35,687.76,1.616,active,2025-08-12T23:03:00+08:00,true
SKU00154,PROD0058,CAT002-0058-01,Size,Large,2057.90,1087.48,0.298,active,2026-02-18T09:01:00+08:00,true
SKU00155,PROD0058,CAT002-0058-02,Size,Medium,2006.24,1037.22,1.058,active,2026-02-18T09:02:00+08:00,true
SKU00156,PROD0058,CAT002-0058-03,Size,Small,2263.34,1129.67,2.197,active,2026-02-18T09:03:00+08:00,true
SKU00157,PROD0059,CAT003-0059-01,Size,Large,1628860.67,903352.50,1.952,active,2025-03-21T10:01:00+08:00,true
SKU00158,PROD0060,CAT004-0060-01,Color,Navy,587751.35,314061.13,1.942,active,2025-05-17T02:01:00+08:00,true
SKU00159,PROD0060,CAT004-0060-02,Color,Brown,602350.34,326489.32,0.743,active,2025-05-17T02:02:00+08:00,true
SKU00160,PROD0060,CAT004-0060-03,Color,Style 3,562540.10,306432.61,1.171,active,2025-05-17T02:03:00+08:00,true
SKU00161,PROD0060,CAT004-0060-04,Color,Style 4,538964.89,323593.17,2.041,active,2025-05-17T02:04:00+08:00,true
SKU00162,PROD0061,CAT005-0061-01,Thickness,8mm,94.04,46.56,2.271,active,2025-08-04T08:01:00+08:00,true
SKU00163,PROD0061,CAT005-0061-02,Thickness,6mm,79.38,47.79,0.769,active,2025-08-04T08:02:00+08:00,true
SKU00164,PROD0062,CAT006-0062-01,Size,Large,249.48,155.72,0.570,active,2025-05-04T01:01:00+08:00,true
SKU00165,PROD0062,CAT006-0062-02,Size,Small,232.41,155.72,2.270,active,2025-05-04T01:02:00+08:00,true
SKU00166,PROD0062,CAT006-0062-03,Size,Style 3,241.39,149.85,1.522,active,2025-05-04T01:03:00+08:00,true
SKU00167,PROD0062,CAT006-0062-04,Size,Style 4,280.14,142.94,2.343,active,2025-05-04T01:04:00+08:00,true
SKU00168,PROD0063,CAT007-0063-01,Color,Silver,3058.83,1494.52,0.919,active,2026-03-08T23:01:00+08:00,true
SKU00169,PROD0063,CAT007-0063-02,Color,Black,3067.94,1479.42,0.374,active,2026-03-08T23:02:00+08:00,true
SKU00170,PROD0063,CAT007-0063-03,Color,Style 3,2802.15,1449.33,1.201,active,2026-03-08T23:03:00+08:00,true
SKU00171,PROD0064,CAT008-0064-01,Color,Pink,424.06,191.06,0.198,active,2025-12-07T19:01:00+08:00,true
SKU00172,PROD0064,CAT008-0064-02,Color,Blue,402.64,183.29,1.365,active,2025-12-07T19:02:00+08:00,true
SKU00173,PROD0065,CAT001-0065-01,Capacity,10000mAh,1655054.84,981237.49,2.093,active,2026-04-16T20:01:00+08:00,true
SKU00174,PROD0065,CAT001-0065-02,Capacity,20000mAh,1552367.79,962529.51,0.572,active,2026-04-16T20:02:00+08:00,true
SKU00175,PROD0065,CAT001-0065-03,Capacity,Style 3,1621774.14,945639.85,1.469,active,2026-04-16T20:03:00+08:00,true
SKU00176,PROD0066,CAT002-0066-01,Pack,10 Pack,216988.62,143304.85,1.962,active,2026-04-11T02:01:00+08:00,true
SKU00177,PROD0066,CAT002-0066-02,Pack,5 Pack,200447.96,138126.61,0.496,active,2026-04-11T02:02:00+08:00,true
SKU00178,PROD0066,CAT002-0066-03,Pack,Style 3,216906.14,142696.91,1.513,active,2026-04-11T02:03:00+08:00,true
SKU00179,PROD0066,CAT002-0066-04,Pack,Style 4,223631.32,139998.23,1.124,active,2026-04-11T02:04:00+08:00,true
SKU00180,PROD0067,CAT003-0067-01,Color,Clear,30.93,20.60,0.731,active,2026-02-03T10:01:00+08:00,true
SKU00181,PROD0068,CAT004-0068-01,Style,Sport,242.41,173.76,1.064,active,2025-06-01T23:01:00+08:00,true
SKU00182,PROD0069,CAT005-0069-01,Capacity,750ml,1005.23,683.65,1.560,active,2026-02-06T09:01:00+08:00,true
SKU00183,PROD0069,CAT005-0069-02,Capacity,500ml,1037.37,649.33,0.350,active,2026-02-06T09:02:00+08:00,true
SKU00184,PROD0070,CAT006-0070-01,Capacity,500ml,1843.88,1074.33,0.967,active,2025-01-12T12:01:00+08:00,true
SKU00185,PROD0070,CAT006-0070-02,Capacity,300ml,2178.74,1168.77,0.524,active,2025-01-12T12:02:00+08:00,true
SKU00186,PROD0070,CAT006-0070-03,Capacity,Style 3,1924.60,1134.44,2.394,active,2025-01-12T12:03:00+08:00,true
SKU00187,PROD0070,CAT006-0070-04,Capacity,Style 4,1882.82,1144.08,0.286,active,2025-01-12T12:04:00+08:00,true
SKU00188,PROD0071,CAT007-0071-01,Color,White,346284.88,259825.74,0.148,inactive,2025-08-02T22:01:00+08:00,true
SKU00189,PROD0071,CAT007-0071-02,Color,Black,354036.28,269067.02,2.377,active,2025-08-02T22:02:00+08:00,true
SKU00190,PROD0071,CAT007-0071-03,Color,Style 3,393418.18,268465.21,0.823,active,2025-08-02T22:03:00+08:00,true
SKU00191,PROD0072,CAT008-0072-01,Pack,16 Pack,100074.70,65242.30,1.156,active,2025-12-04T02:01:00+08:00,true
SKU00192,PROD0073,CAT001-0073-01,Ports,6-in-1,27.91,18.12,2.174,active,2025-03-24T16:01:00+08:00,true
SKU00193,PROD0073,CAT001-0073-02,Ports,8-in-1,28.01,18.64,2.350,active,2025-03-24T16:02:00+08:00,true
SKU00194,PROD0073,CAT001-0073-03,Ports,Style 3,30.43,17.17,0.246,active,2025-03-24T16:03:00+08:00,true
SKU00195,PROD0074,CAT002-0074-01,Capacity,400ml,286.31,133.33,1.732,active,2025-01-11T18:01:00+08:00,true
SKU00196,PROD0074,CAT002-0074-02,Capacity,200ml,285.40,132.06,2.400,active,2025-01-11T18:02:00+08:00,true
SKU00197,PROD0074,CAT002-0074-03,Capacity,Style 3,276.76,123.96,1.518,active,2025-01-11T18:03:00+08:00,true
SKU00198,PROD0074,CAT002-0074-04,Capacity,Style 4,270.01,133.78,1.420,active,2025-01-11T18:04:00+08:00,true
SKU00199,PROD0075,CAT003-0075-01,Plug,UK,3433.43,1707.77,1.963,active,2025-03-26T22:01:00+08:00,true
SKU00200,PROD0076,CAT004-0076-01,Color,Navy,1511.03,910.39,2.026,active,2025-12-23T05:01:00+08:00,true
SKU00201,PROD0076,CAT004-0076-02,Color,Brown,1559.58,858.95,1.294,active,2025-12-23T05:02:00+08:00,true
SKU00202,PROD0077,CAT005-0077-01,Capacity,750ml,990566.46,518899.34,0.247,active,2025-05-21T10:01:00+08:00,true
SKU00203,PROD0078,CAT006-0078-01,Size,Small,186418.93,117312.58,0.154,active,2025-01-18T00:01:00+08:00,true
SKU00204,PROD0078,CAT006-0078-02,Size,Medium,200637.78,106511.29,1.842,active,2025-01-18T00:02:00+08:00,true
SKU00205,PROD0078,CAT006-0078-03,Size,Style 3,231333.10,118260.64,1.149,active,2025-01-18T00:03:00+08:00,true
SKU00206,PROD0079,CAT007-0079-01,Color,White,63.35,33.53,1.832,active,2026-01-31T16:01:00+08:00,true
SKU00207,PROD0079,CAT007-0079-02,Color,Black,69.96,33.27,1.371,active,2026-01-31T16:02:00+08:00,true
SKU00208,PROD0080,CAT008-0080-01,Color,Green,146.03,90.88,1.551,active,2025-03-11T09:01:00+08:00,true
SKU00209,PROD0080,CAT008-0080-02,Color,Grey,154.94,94.85,0.814,active,2025-03-11T09:02:00+08:00,true
SKU00210,PROD0080,CAT008-0080-03,Color,Style 3,158.07,93.78,2.327,active,2025-03-11T09:03:00+08:00,true
SKU00211,PROD0080,CAT008-0080-04,Color,Style 4,146.92,86.17,0.865,active,2025-03-11T09:04:00+08:00,true
SKU00212,PROD0081,CAT001-0081-01,Color,Blue,2106.11,1117.92,2.235,active,2025-03-19T22:01:00+08:00,true
SKU00213,PROD0081,CAT001-0081-02,Color,White,1970.02,1243.78,1.136,active,2025-03-19T22:02:00+08:00,true
SKU00214,PROD0081,CAT001-0081-03,Color,Black,2164.59,1188.58,1.760,active,2025-03-19T22:03:00+08:00,true
SKU00215,PROD0082,CAT002-0082-01,Pack,5 Pack,240.41,139.36,2.229,inactive,2025-05-06T03:01:00+08:00,true
SKU00216,PROD0082,CAT002-0082-02,Pack,10 Pack,228.01,137.57,0.241,inactive,2025-05-06T03:02:00+08:00,true
