inventory_id,sku_id,warehouse_id,warehouse_name,available_stock,reserved_stock,safety_stock,stock_status,updated_at,is_mock_data
INV00021,SKU00021,WH004,Philippines Demo Fulfillment Center,122,0,6,sufficient,2026-06-29T21:00:00+08:00,true
INV00022,SKU00022,WH005,Thailand Demo Fulfillment Center,118,3,12,sufficient,2026-06-30T02:00:00+08:00,true
INV00023,SKU00023,WH005,Thailand Demo Fulfillment Center,82,7,15,sufficient,2026-06-28T22:00:00+08:00,true
INV00024,SKU00024,WH005,Thailand Demo Fulfillment Center,138,2,11,sufficient,2026-06-29T06:00:00+08:00,true
INV00025,SKU00025,WH006,Vietnam Demo Fulfillment Center,36,0,13,sufficient,2026-06-29T17:00:00+08:00,true
INV00026,SKU00026,WH001,Indonesia Demo Fulfillment Center,11,6,11,low_stock,2026-07-01T03:00:00+08:00,true
INV00027,SKU00027,WH001,Indonesia Demo Fulfillment Center,125,0,15,sufficient,2026-06-28T15:00:00+08:00,true
INV00028,SKU00028,WH001,Indonesia Demo Fulfillment Center,43,3,12,sufficient,2026-07-01T01:00:00+08:00,true
INV00029,SKU00029,WH002,Singapore Demo Fulfillment Center,34,0,9,sufficient,2026-07-01T00:00:00+08:00,true
INV00030,SKU00030,WH002,Singapore Demo Fulfillment Center,4,3,6,low_stock,2026-06-30T21:00:00+08:00,true
INV00031,SKU00031,WH002,Singapore Demo Fulfillment Center,38,3,8,sufficient,2026-06-30T07:00:00+08:00,true
INV00032,SKU00032,WH003,Malaysia Demo Fulfillment Center,153,1,5,sufficient,2026-06-29T09:00:00+08:00,true
INV00033,SKU00033,WH003,Malaysia Demo Fulfillment Center,114,1,8,sufficient,2026-06-29T12:00:00+08:00,true
INV00034,SKU00034,WH003,Malaysia Demo Fulfillment Center,144,0,9,sufficient,2026-06-29T06:00:00+08:00,true
INV00035,SKU00035,WH003,Malaysia Demo Fulfillment Center,119,3,6,sufficient,2026-06-29T13:00:00+08:00,true
INV00036,SKU00036,WH004,Philippines Demo Fulfillment Center,2,0,6,low_stock,2026-06-30T10:00:00+08:00,true
INV00037,SKU00037,WH004,Philippines Demo Fulfillment Center,65,4,11,sufficient,2026-06-30T05:00:00+08:00,true
INV00038,SKU00038,WH004,Philippines Demo Fulfillment Center,0,0,5,out_of_stock,2026-06-30T15:00:00+08:00,true
INV00039,SKU00039,WH004,Philippines Demo Fulfillment Center,22,1,11,sufficient,2026-06-28T15:00:00+08:00,true
INV00040,SKU00040,WH005,Thailand Demo Fulfillment Center,104,4,9,sufficient,2026-06-28T21:00:00+08:00,true
INV00041,SKU00041,WH005,Thailand Demo Fulfillment Center,25,7,11,sufficient,2026-06-30T15:00:00+08:00,true
INV00042,SKU00042,WH005,Thailand Demo Fulfillment Center,107,7,6,sufficient,2026-06-29T10:00:00+08:00,true
INV00043,SKU00043,WH005,Thailand Demo Fulfillment Center,153,4,13,sufficient,2026-06-29T09:00:00+08:00,true
INV00044,SKU00044,WH006,Vietnam Demo Fulfillment Center,154,8,5,sufficient,2026-06-30T14:00:00+08:00,true
INV00045,SKU00045,WH006,Vietnam Demo Fulfillment Center,116,5,13,sufficient,2026-06-28T14:00:00+08:00,true
INV00046,SKU00046,WH006,Vietnam Demo Fulfillment Center,147,0,9,sufficient,2026-06-30T16:00:00+08:00,true
INV00047,SKU00047,WH001,Indonesia Demo Fulfillment Center,89,2,10,sufficient,2026-06-30T00:00:00+08:00,true
INV00048,SKU00048,WH001,Indonesia Demo Fulfillment Center,131,7,7,sufficient,2026-07-01T11:00:00+08:00,true
INV00049,SKU00049,WH001,Indonesia Demo Fulfillment Center,135,1,14,sufficient,2026-06-29T03:00:00+08:00,true
INV00050,SKU00050,WH001,Indonesia Demo Fulfillment Center,26,1,8,sufficient,2026-06-29T10:00:00+08:00,true
INV00051,SKU00051,WH002,Singapore Demo Fulfillment Center,29,5,15,sufficient,2026-06-30T06:00:00+08:00,true
INV00052,SKU00052,WH002,Singapore Demo Fulfillment Center,28,7,13,sufficient,2026-06-29T12:00:00+08:00,true
INV00053,SKU00053,WH003,Malaysia Demo Fulfillment Center,95,3,14,sufficient,2026-06-30T23:00:00+08:00,true
INV00054,SKU00054,WH003,Malaysia Demo Fulfillment Center,67,3,12,sufficient,2026-06-30T07:00:00+08:00,true
INV00055,SKU00055,WH003,Malaysia Demo Fulfillment Center,1,0,11,low_stock,2026-07-01T06:00:00+08:00,true
INV00056,SKU00056,WH004,Philippines Demo Fulfillment Center,0,0,10,out_of_stock,2026-06-30T09:00:00+08:00,true
INV00057,SKU00057,WH004,Philippines Demo Fulfillment Center,5,3,13,low_stock,2026-07-01T01:00:00+08:00,true
INV00058,SKU00058,WH004,Philippines Demo Fulfillment Center,92,8,8,sufficient,2026-06-28T14:00:00+08:00,true
INV00059,SKU00059,WH005,Thailand Demo Fulfillment Center,141,3,12,sufficient,2026-06-29T03:00:00+08:00,true
INV00060,SKU00060,WH005,Thailand Demo Fulfillment Center,85,6,5,sufficient,2026-06-29T13:00:00+08:00,true
INV00061,SKU00061,WH005,Thailand Demo Fulfillment Center,101,4,13,sufficient,2026-06-30T09:00:00+08:00,true
INV00062,SKU00062,WH006,Vietnam Demo Fulfillment Center,1,1,7,low_stock,2026-06-28T14:00:00+08:00,true
INV00063,SKU00063,WH006,Vietnam Demo Fulfillment Center,66,3,5,sufficient,2026-07-01T02:00:00+08:00,true
INV00064,SKU00064,WH001,Indonesia Demo Fulfillment Center,119,1,13,sufficient,2026-07-01T06:00:00+08:00,true
INV00065,SKU00065,WH001,Indonesia Demo Fulfillment Center,101,8,7,sufficient,2026-06-28T22:00:00+08:00,true
INV00066,SKU00066,WH002,Singapore Demo Fulfillment Center,159,0,13,sufficient,2026-06-28T18:00:00+08:00,true
INV00067,SKU00067,WH002,Singapore Demo Fulfillment Center,28,7,8,sufficient,2026-06-30T22:00:00+08:00,true
INV00068,SKU00068,WH002,Singapore Demo Fulfillment Center,5,2,14,low_stock,2026-07-01T05:00:00+08:00,true
INV00069,SKU00069,WH002,Singapore Demo Fulfillment Center,158,0,15,sufficient,2026-06-29T12:00:00+08:00,true
INV00070,SKU00070,WH003,Malaysia Demo Fulfillment Center,43,0,11,sufficient,2026-06-29T03:00:00+08:00,true
INV00071,SKU00071,WH003,Malaysia Demo Fulfillment Center,5,1,9,low_stock,2026-07-01T03:00:00+08:00,true
INV00072,SKU00072,WH003,Malaysia Demo Fulfillment Center,47,3,6,sufficient,2026-06-29T14:00:00+08:00,true
INV00073,SKU00073,WH003,Malaysia Demo Fulfillment Center,42,8,10,sufficient,2026-06-29T12:00:00+08:00,true
INV00074,SKU00074,WH004,Philippines Demo Fulfillment Center,0,0,12,out_of_stock,2026-06-29T01:00:00+08:00,true
INV00075,SKU00075,WH004,Philippines Demo Fulfillment Center,104,4,6,sufficient,2026-06-28T20:00:00+08:00,true
INV00076,SKU00076,WH005,Thailand Demo Fulfillment Center,155,2,6,sufficient,2026-06-29T18:00:00+08:00,true
INV00077,SKU00077,WH006,Vietnam Demo Fulfillment Center,59,3,5,sufficient,2026-07-01T04:00:00+08:00,true
INV00078,SKU00078,WH006,Vietnam Demo Fulfillment Center,67,6,9,sufficient,2026-07-01T09:00:00+08:00,true
INV00079,SKU00079,WH006,Vietnam Demo Fulfillment Center,93,5,11,sufficient,2026-06-30T02:00:00+08:00,true
INV00080,SKU00080,WH001,Indonesia Demo Fulfillment Center,91,1,11,sufficient,2026-06-29T00:00:00+08:00,true
INV00081,SKU00081,WH001,Indonesia Demo Fulfillment Center,148,1,9,sufficient,2026-06-29T20:00:00+08:00,true
INV00082,SKU00082,WH001,Indonesia Demo Fulfillment Center,131,6,12,sufficient,2026-06-30T19:00:00+08:00,true
INV00083,SKU00083,WH001,Indonesia Demo Fulfillment Center,101,8,5,sufficient,2026-06-29T10:00:00+08:00,true
INV00084,SKU00084,WH002,Singapore Demo Fulfillment Center,74,6,13,sufficient,2026-06-30T06:00:00+08:00,true
INV00085,SKU00085,WH002,Singapore Demo Fulfillment Center,126,8,15,sufficient,2026-07-01T07:00:00+08:00,true
INV00086,SKU00086,WH003,Malaysia Demo Fulfillment Center,74,6,14,sufficient,2026-06-29T12:00:00+08:00,true
INV00087,SKU00087,WH003,Malaysia Demo Fulfillment Center,71,0,6,sufficient,2026-06-28T22:00:00+08:00,true
INV00088,SKU00088,WH003,Malaysia Demo Fulfillment Center,78,0,12,sufficient,2026-07-01T00:00:00+08:00,true
INV00089,SKU00089,WH004,Philippines Demo Fulfillment Center,78,8,10,sufficient,2026-06-30T08:00:00+08:00,true
INV00090,SKU00090,WH005,Thailand Demo Fulfillment Center,59,1,5,sufficient,2026-07-01T11:00:00+08:00,true
INV00091,SKU00091,WH005,Thailand Demo Fulfillment Center,115,2,7,sufficient,2026-06-30T08:00:00+08:00,true
INV00092,SKU00092,WH006,Vietnam Demo Fulfillment Center,3,2,6,low_stock,2026-06-28T16:00:00+08:00,true
INV00093,SKU00093,WH006,Vietnam Demo Fulfillment Center,61,5,14,sufficient,2026-06-30T08:00:00+08:00,true
INV00094,SKU00094,WH006,Vietnam Demo Fulfillment Center,101,5,15,sufficient,2026-06-29T09:00:00+08:00,true
INV00095,SKU00095,WH006,Vietnam Demo Fulfillment Center,10,0,14,low_stock,2026-06-29T11:00:00+08:00,true
INV00096,SKU00096,WH001,Indonesia Demo Fulfillment Center,142,0,15,sufficient,2026-06-29T11:00:00+08:00,true
INV00097,SKU00097,WH001,Indonesia Demo Fulfillment Center,62,5,15,sufficient,2026-06-29T13:00:00+08:00,true
INV00098,SKU00098,WH001,Indonesia Demo Fulfillment Center,5,2,7,low_stock,2026-06-28T16:00:00+08:00,true
INV00099,SKU00099,WH001,Indonesia Demo Fulfillment Center,1,1,10,low_stock,2026-06-28T21:00:00+08:00,true
INV00100,SKU00100,WH002,Singapore Demo Fulfillment Center,134,1,5,sufficient,2026-06-30T13:00:00+08:00,true
INV00101,SKU00101,WH003,Malaysia Demo Fulfillment Center,148,1,6,sufficient,2026-07-01T05:00:00+08:00,true
INV00102,SKU00102,WH003,Malaysia Demo Fulfillment Center,143,8,13,sufficient,2026-06-29T08:00:00+08:00,true
INV00103,SKU00103,WH003,Malaysia Demo Fulfillment Center,81,6,15,sufficient,2026-07-01T07:00:00+08:00,true
INV00104,SKU00104,WH003,Malaysia Demo Fulfillment Center,6,5,11,low_stock,2026-06-29T17:00:00+08:00,true
INV00105,SKU00105,WH004,Philippines Demo Fulfillment Center,61,8,9,sufficient,2026-06-30T16:00:00+08:00,true
INV00106,SKU00106,WH004,Philippines Demo Fulfillment Center,25,1,10,sufficient,2026-06-30T10:00:00+08:00,true
INV00107,SKU00107,WH005,Thailand Demo Fulfillment Center,140,4,14,sufficient,2026-07-01T07:00:00+08:00,true
INV00108,SKU00108,WH006,Vietnam Demo Fulfillment Center,0,0,8,out_of_stock,2026-06-28T20:00:00+08:00,true
INV00109,SKU00109,WH006,Vietnam Demo Fulfillment Center,21,0,8,sufficient,2026-07-01T07:00:00+08:00,true
INV00110,SKU00110,WH006,Vietnam Demo Fulfillment Center,57,8,5,sufficient,2026-06-30T00:00:00+08:00,true
INV00111,SKU00111,WH001,Indonesia Demo Fulfillment Center,125,8,8,sufficient,2026-06-28T15:00:00+08:00,true
INV00112,SKU00112,WH001,Indonesia Demo Fulfillment Center,74,3,13,sufficient,2026-07-01T11:00:00+08:00,true
INV00113,SKU00113,WH001,Indonesia Demo Fulfillment Center,56,8,9,sufficient,2026-06-29T21:00:00+08:00,true
INV00114,SKU00114,WH001,Indonesia Demo Fulfillment Center,20,2,5,sufficient,2026-06-30T18:00:00+08:00,true
INV00115,SKU00115,WH002,Singapore Demo Fulfillment Center,90,5,7,sufficient,2026-06-30T17:00:00+08:00,true
INV00116,SKU00116,WH002,Singapore Demo Fulfillment Center,76,6,5,sufficient,2026-06-29T07:00:00+08:00,true
INV00117,SKU00117,WH002,Singapore Demo Fulfillment Center,11,5,15,low_stock,2026-06-29T10:00:00+08:00,true
INV00118,SKU00118,WH002,Singapore Demo Fulfillment Center,32,4,5,sufficient,2026-06-30T22:00:00+08:00,true
INV00119,SKU00119,WH003,Malaysia Demo Fulfillment Center,0,0,11,out_of_stock,2026-07-01T04:00:00+08:00,true
INV00120,SKU00120,WH003,Malaysia Demo Fulfillment Center,2,2,5,low_stock,2026-06-28T20:00:00+08:00,true
INV00121,SKU00121,WH004,Philippines Demo Fulfillment Center,10,5,15,low_stock,2026-06-30T05:00:00+08:00,true
INV00122,SKU00122,WH005,Thailand Demo Fulfillment Center,115,7,10,sufficient,2026-06-28T12:00:00+08:00,true
INV00123,SKU00123,WH005,Thailand Demo Fulfillment Center,103,1,13,sufficient,2026-06-29T21:00:00+08:00,true
INV00124,SKU00124,WH005,Thailand Demo Fulfillment Center,69,2,12,sufficient,2026-06-29T03:00:00+08:00,true
INV00125,SKU00125,WH005,Thailand Demo Fulfillment Center,108,0,7,sufficient,2026-06-29T21:00:00+08:00,true
INV00126,SKU00126,WH006,Vietnam Demo Fulfillment Center,155,2,6,sufficient,2026-06-29T09:00:00+08:00,true
INV00127,SKU00127,WH006,Vietnam Demo Fulfillment Center,141,7,5,sufficient,2026-06-28T14:00:00+08:00,true
INV00128,SKU00128,WH006,Vietnam Demo Fulfillment Center,146,4,6,sufficient,2026-06-29T13:00:00+08:00,true
INV00129,SKU00129,WH001,Indonesia Demo Fulfillment Center,142,6,12,sufficient,2026-06-29T22:00:00+08:00,true
INV00130,SKU00130,WH001,Indonesia Demo Fulfillment Center,73,1,5,sufficient,2026-06-29T21:00:00+08:00,true
INV00131,SKU00131,WH001,Indonesia Demo Fulfillment Center,14,2,15,low_stock,2026-06-28T17:00:00+08:00,true
INV00132,SKU00132,WH002,Singapore Demo Fulfillment Center,1,1,5,low_stock,2026-07-01T10:00:00+08:00,true
INV00133,SKU00133,WH002,Singapore Demo Fulfillment Center,92,0,7,sufficient,2026-06-29T15:00:00+08:00,true
INV00134,SKU00134,WH002,Singapore Demo Fulfillment Center,1,0,11,low_stock,2026-07-01T06:00:00+08:00,true
INV00135,SKU00135,WH003,Malaysia Demo Fulfillment Center,101,5,14,sufficient,2026-07-01T08:00:00+08:00,true
INV00136,SKU00136,WH003,Malaysia Demo Fulfillment Center,7,7,14,low_stock,2026-07-01T03:00:00+08:00,true
INV00137,SKU00137,WH004,Philippines Demo Fulfillment Center,80,7,8,sufficient,2026-06-29T02:00:00+08:00,true
INV00138,SKU00138,WH004,Philippines Demo Fulfillment Center,97,2,11,sufficient,2026-06-30T09:00:00+08:00,true
INV00139,SKU00139,WH005,Thailand Demo Fulfillment Center,91,2,13,sufficient,2026-06-30T23:00:00+08:00,true
INV00140,SKU00140,WH006,Vietnam Demo Fulfillment Center,118,8,7,sufficient,2026-06-29T10:00:00+08:00,true
INV00141,SKU00141,WH001,Indonesia Demo Fulfillment Center,69,0,6,sufficient,2026-06-30T22:00:00+08:00,true
INV00142,SKU00142,WH001,Indonesia Demo Fulfillment Center,146,6,8,sufficient,2026-07-01T04:00:00+08:00,true
INV00143,SKU00143,WH001,Indonesia Demo Fulfillment Center,53,2,15,sufficient,2026-06-28T18:00:00+08:00,true
INV00144,SKU00144,WH001,Indonesia Demo Fulfillment Center,6,1,9,low_stock,2026-07-01T00:00:00+08:00,true
INV00145,SKU00145,WH002,Singapore Demo Fulfillment Center,10,2,12,low_stock,2026-06-28T14:00:00+08:00,true
INV00146,SKU00146,WH002,Singapore Demo Fulfillment Center,57,6,9,sufficient,2026-06-30T08:00:00+08:00,true
INV00147,SKU00147,WH003,Malaysia Demo Fulfillment Center,4,2,11,low_stock,2026-06-29T03:00:00+08:00,true
INV00148,SKU00148,WH003,Malaysia Demo Fulfillment Center,7,7,11,low_stock,2026-06-29T09:00:00+08:00,true
INV00149,SKU00149,WH003,Malaysia Demo Fulfillment Center,112,7,8,sufficient,2026-06-29T14:00:00+08:00,true
INV00150,SKU00150,WH003,Malaysia Demo Fulfillment Center,0,0,8,out_of_stock,2026-06-30T16:00:00+08:00,true
INV00151,SKU00151,WH004,Philippines Demo Fulfillment Center,100,1,8,sufficient,2026-06-30T11:00:00+08:00,true
INV00152,SKU00152,WH004,Philippines Demo Fulfillment Center,70,3,5,sufficient,2026-06-29T16:00:00+08:00,true
INV00153,SKU00153,WH004,Philippines Demo Fulfillment Center,74,6,12,sufficient,2026-06-29T02:00:00+08:00,true
INV00154,SKU00154,WH005,Thailand Demo Fulfillment Center,117,0,13,sufficient,2026-07-01T10:00:00+08:00,true
INV00155,SKU00155,WH005,Thailand Demo Fulfillment Center,0,0,12,out_of_stock,2026-06-29T19:00:00+08:00,true
INV00156,SKU00156,WH005,Thailand Demo Fulfillment Center,129,7,8,sufficient,2026-06-29T23:00:00+08:00,true
INV00157,SKU00157,WH006,Vietnam Demo Fulfillment Center,120,3,5,sufficient,2026-06-29T23:00:00+08:00,true
INV00158,SKU00158,WH001,Indonesia Demo Fulfillment Center,157,3,13,sufficient,2026-06-28T17:00:00+08:00,true
INV00159,SKU00159,WH001,Indonesia Demo Fulfillment Center,121,0,14,sufficient,2026-06-30T01:00:00+08:00,true
INV00160,SKU00160,WH001,Indonesia Demo Fulfillment Center,0,0,9,out_of_stock,2026-07-01T09:00:00+08:00,true
INV00161,SKU00161,WH001,Indonesia Demo Fulfillment Center,107,1,11,sufficient,2026-06-29T23:00:00+08:00,true
INV00162,SKU00162,WH002,Singapore Demo Fulfillment Center,42,5,8,sufficient,2026-07-01T11:00:00+08:00,true
INV00163,SKU00163,WH002,Singapore Demo Fulfillment Center,130,5,15,sufficient,2026-06-28T18:00:00+08:00,true
INV00164,SKU00164,WH003,Malaysia Demo Fulfillment Center,22,7,12,sufficient,2026-06-29T18:00:00+08:00,true
INV00165,SKU00165,WH003,Malaysia Demo Fulfillment Center,0,0,9,out_of_stock,2026-07-01T09:00:00+08:00,true
INV00166,SKU00166,WH003,Malaysia Demo Fulfillment Center,5,5,9,low_stock,2026-07-01T08:00:00+08:00,true
INV00167,SKU00167,WH003,Malaysia Demo Fulfillment Center,7,2,8,low_stock,2026-06-28T21:00:00+08:00,true
INV00168,SKU00168,WH004,Philippines Demo Fulfillment Center,0,0,12,out_of_stock,2026-06-30T10:00:00+08:00,true
INV00169,SKU00169,WH004,Philippines Demo Fulfillment Center,0,0,9,out_of_stock,2026-06-29T11:00:00+08:00,true
INV00170,SKU00170,WH004,Philippines Demo Fulfillment Center,85,1,8,sufficient,2026-06-29T15:00:00+08:00,true
INV00171,SKU00171,WH005,Thailand Demo Fulfillment Center,98,0,11,sufficient,2026-07-01T04:00:00+08:00,true
INV00172,SKU00172,WH005,Thailand Demo Fulfillment Center,155,8,10,sufficient,2026-06-28T16:00:00+08:00,true
INV00173,SKU00173,WH006,Vietnam Demo Fulfillment Center,44,7,14,sufficient,2026-06-28T22:00:00+08:00,true
INV00174,SKU00174,WH006,Vietnam Demo Fulfillment Center,25,5,8,sufficient,2026-06-30T03:00:00+08:00,true
INV00175,SKU00175,WH006,Vietnam Demo Fulfillment Center,76,0,13,sufficient,2026-06-28T16:00:00+08:00,true
INV00176,SKU00176,WH001,Indonesia Demo Fulfillment Center,126,8,15,sufficient,2026-06-29T19:00:00+08:00,true
INV00177,SKU00177,WH001,Indonesia Demo Fulfillment Center,38,1,13,sufficient,2026-06-29T03:00:00+08:00,true
INV00178,SKU00178,WH001,Indonesia Demo Fulfillment Center,114,3,7,sufficient,2026-07-01T05:00:00+08:00,true
INV00179,SKU00179,WH001,Indonesia Demo Fulfillment Center,2,1,9,low_stock,2026-07-01T09:00:00+08:00,true
INV00180,SKU00180,WH002,Singapore Demo Fulfillment Center,35,1,10,sufficient,2026-06-29T05:00:00+08:00,true
INV00181,SKU00181,WH003,Malaysia Demo Fulfillment Center,46,7,13,sufficient,2026-06-28T15:00:00+08:00,true
INV00182,SKU00182,WH004,Philippines Demo Fulfillment Center,159,7,10,sufficient,2026-07-01T00:00:00+08:00,true
INV00183,SKU00183,WH004,Philippines Demo Fulfillment Center,6,2,13,low_stock,2026-06-29T07:00:00+08:00,true
INV00184,SKU00184,WH005,Thailand Demo Fulfillment Center,95,1,13,sufficient,2026-06-29T04:00:00+08:00,true
INV00185,SKU00185,WH005,Thailand Demo Fulfillment Center,70,3,13,sufficient,2026-06-29T11:00:00+08:00,true
INV00186,SKU00186,WH005,Thailand Demo Fulfillment Center,87,6,10,sufficient,2026-07-01T08:00:00+08:00,true
INV00187,SKU00187,WH005,Thailand Demo Fulfillment Center,122,4,9,sufficient,2026-07-01T12:00:00+08:00,true
INV00188,SKU00188,WH006,Vietnam Demo Fulfillment Center,4,4,9,low_stock,2026-06-29T10:00:00+08:00,true
INV00189,SKU00189,WH006,Vietnam Demo Fulfillment Center,8,2,14,low_stock,2026-07-01T08:00:00+08:00,true
INV00190,SKU00190,WH006,Vietnam Demo Fulfillment Center,42,0,7,sufficient,2026-07-01T04:00:00+08:00,true
INV00191,SKU00191,WH001,Indonesia Demo Fulfillment Center,87,7,6,sufficient,2026-06-28T16:00:00+08:00,true
INV00192,SKU00192,WH002,Singapore Demo Fulfillment Center,139,5,12,sufficient,2026-06-30T06:00:00+08:00,true
INV00193,SKU00193,WH002,Singapore Demo Fulfillment Center,110,4,9,sufficient,2026-06-29T06:00:00+08:00,true
INV00194,SKU00194,WH002,Singapore Demo Fulfillment Center,154,7,9,sufficient,2026-06-29T09:00:00+08:00,true
INV00195,SKU00195,WH003,Malaysia Demo Fulfillment Center,0,0,10,out_of_stock,2026-06-29T07:00:00+08:00,true
INV00196,SKU00196,WH003,Malaysia Demo Fulfillment Center,140,6,7,sufficient,2026-06-30T22:00:00+08:00,true
INV00197,SKU00197,WH003,Malaysia Demo Fulfillment Center,79,2,8,sufficient,2026-06-28T14:00:00+08:00,true
INV00198,SKU00198,WH003,Malaysia Demo Fulfillment Center,40,3,5,sufficient,2026-07-01T01:00:00+08:00,true
INV00199,SKU00199,WH004,Philippines Demo Fulfillment Center,51,8,11,sufficient,2026-06-30T22:00:00+08:00,true
INV00200,SKU00200,WH005,Thailand Demo Fulfillment Center,86,0,12,sufficient,2026-06-29T11:00:00+08:00,true
INV00201,SKU00201,WH005,Thailand Demo Fulfillment Center,159,8,15,sufficient,2026-06-28T21:00:00+08:00,true
INV00202,SKU00202,WH006,Vietnam Demo Fulfillment Center,107,8,12,sufficient,2026-06-29T23:00:00+08:00,true
INV00203,SKU00203,WH001,Indonesia Demo Fulfillment Center,134,0,11,sufficient,2026-06-29T07:00:00+08:00,true
INV00204,SKU00204,WH001,Indonesia Demo Fulfillment Center,8,8,15,low_stock,2026-06-30T09:00:00+08:00,true
INV00205,SKU00205,WH001,Indonesia Demo Fulfillment Center,152,7,15,sufficient,2026-06-29T02:00:00+08:00,true
INV00206,SKU00206,WH002,Singapore Demo Fulfillment Center,2,1,11,low_stock,2026-06-28T14:00:00+08:00,true
INV00207,SKU00207,WH002,Singapore Demo Fulfillment Center,118,0,12,sufficient,2026-06-30T21:00:00+08:00,true
INV00208,SKU00208,WH003,Malaysia Demo Fulfillment Center,141,2,14,sufficient,2026-06-30T10:00:00+08:00,true
INV00209,SKU00209,WH003,Malaysia Demo Fulfillment Center,159,7,14,sufficient,2026-06-29T18:00:00+08:00,true
INV00210,SKU00210,WH003,Malaysia Demo Fulfillment Center,65,4,8,sufficient,2026-06-30T10:00:00+08:00,true
INV00211,SKU00211,WH003,Malaysia Demo Fulfillment Center,5,5,15,low_stock,2026-06-29T16:00:00+08:00,true
INV00212,SKU00212,WH004,Philippines Demo Fulfillment Center,151,0,14,sufficient,2026-06-30T19:00:00+08:00,true
INV00213,SKU00213,WH004,Philippines Demo Fulfillment Center,60,0,15,sufficient,2026-06-30T04:00:00+08:00,true
INV00214,SKU00214,WH004,Philippines Demo Fulfillment Center,4,3,12,low_stock,2026-06-30T13:00:00+08:00,true
INV00215,SKU00215,WH005,Thailand Demo Fulfillment Center,3,2,15,low_stock,2026-06-29T12:00:00+08:00,true
INV00216,SKU00216,WH005,Thailand Demo Fulfillment Center,125,7,7,sufficient,2026-06-29T14:00:00+08:00,true
INV00217,SKU00217,WH005,Thailand Demo Fulfillment Center,120,7,14,sufficient,2026-06-28T14:00:00+08:00,true
INV00218,SKU00218,WH005,Thailand Demo Fulfillment Center,93,3,15,sufficient,2026-06-30T02:00:00+08:00,true
INV00219,SKU00219,WH006,Vietnam Demo Fulfillment Center,5,4,14,low_stock,2026-07-01T00:00:00+08:00,true
INV00220,SKU00220,WH006,Vietnam Demo Fulfillment Center,142,5,14,sufficient,2026-07-01T09:00:00+08:00,true
INV00221,SKU00221,WH001,Indonesia Demo Fulfillment Center,92,7,14,sufficient,2026-07-01T05:00:00+08:00,true
INV00222,SKU00222,WH001,Indonesia Demo Fulfillment Center,154,3,7,sufficient,2026-06-30T09:00:00+08:00,true
INV00223,SKU00223,WH001,Indonesia Demo Fulfillment Center,97,1,12,sufficient,2026-06-28T23:00:00+08:00,true
INV00224,SKU00224,WH001,Indonesia Demo Fulfillment Center,32,3,8,sufficient,2026-07-01T05:00:00+08:00,true
INV00225,SKU00225,WH002,Singapore Demo Fulfillment Center,42,8,11,sufficient,2026-06-29T14:00:00+08:00,true
