session_id,buyer_id,order_id,product_id,language,intent,risk_level,session_status,created_at,is_mock_data
SES00019,BUY00149,ORD000213,PROD0038,Malay,size_inquiry,low,resolved,2026-01-28T21:42:00+08:00,true
SES00020,BUY00091,ORD000287,PROD0025,English,size_inquiry,low,resolved,2026-01-24T16:55:00+08:00,true
SES00021,BUY00157,ORD000390,PROD0019,English,order_query,low,resolved,2026-04-18T15:12:00+08:00,true
SES00022,BUY00297,ORD000493,PROD0085,English,cancel_order,medium,resolved,2026-05-25T13:20:00+08:00,true
SES00023,BUY00166,ORD000366,PROD0082,Thai,stock_inquiry,low,resolved,2026-04-07T20:00:00+08:00,true
SES00024,BUY00071,ORD000059,PROD0035,Vietnamese,logistics_query,low,open,2026-02-19T11:06:00+08:00,true
SES00025,BUY00104,ORD000109,PROD0015,Filipino,complaint,high,resolved,2026-04-07T04:33:00+08:00,true
SES00026,BUY00293,ORD000340,PROD0025,English,complaint,high,resolved,2026-06-01T03:38:00+08:00,true
SES00027,BUY00226,ORD000214,PROD0093,Filipino,size_inquiry,low,resolved,2026-05-18T07:40:00+08:00,true
SES00028,BUY00283,ORD000331,PROD0016,Thai,complaint,high,resolved,2026-03-12T11:07:00+08:00,true
SES00029,BUY00176,ORD000046,PROD0094,Thai,logistics_query,low,resolved,2026-03-28T05:18:00+08:00,true
SES00030,BUY00117,ORD000416,PROD0001,English,cancel_order,medium,resolved,2026-06-28T17:23:00+08:00,true
SES00031,BUY00102,ORD000057,PROD0057,Filipino,refund_request,high,transferred_to_human,2026-01-28T03:41:00+08:00,true
SES00032,BUY00318,ORD000352,PROD0060,Indonesian,refund_request,high,open,2026-03-16T02:52:00+08:00,true
SES00033,BUY00044,ORD000247,PROD0098,Malay,order_query,low,resolved,2026-04-10T08:17:00+08:00,true
SES00034,BUY00301,ORD000075,PROD0099,Filipino,cancel_order,medium,resolved,2026-03-04T04:35:00+08:00,true
SES00035,BUY00179,ORD000498,PROD0006,Indonesian,size_inquiry,low,transferred_to_human,2026-01-26T01:11:00+08:00,true
SES00036,BUY00011,ORD000301,PROD0058,Thai,order_query,low,resolved,2026-05-27T00:40:00+08:00,true
SES00037,BUY00287,ORD000273,PROD0067,English,stock_inquiry,low,resolved,2026-04-06T22:06:00+08:00,true
SES00038,BUY00178,ORD000427,PROD0051,Filipino,product_recommendation,low,resolved,2026-03-17T19:03:00+08:00,true
SES00039,BUY00122,ORD000439,PROD0007,English,cancel_order,medium,resolved,2026-01-18T23:24:00+08:00,true
SES00040,BUY00065,ORD000040,PROD0040,Thai,order_query,low,resolved,2026-02-11T10:36:00+08:00,true
SES00041,BUY00257,ORD000199,PROD0026,Malay,product_inquiry,low,resolved,2026-05-01T18:37:00+08:00,true
SES00042,BUY00307,ORD000286,PROD0097,English,cancel_order,medium,resolved,2026-05-07T05:57:00+08:00,true
SES00043,BUY00193,ORD000363,PROD0022,Thai,logistics_query,low,resolved,2026-01-19T11:45:00+08:00,true
SES00044,BUY00194,ORD000076,PROD0076,Thai,complaint,high,resolved,2026-06-23T14:12:00+08:00,true
SES00045,BUY00197,ORD000397,PROD0015,Filipino,product_inquiry,low,resolved,2026-03-29T04:24:00+08:00,true
SES00046,BUY00283,ORD000251,PROD0097,English,product_recommendation,low,resolved,2026-03-27T16:07:00+08:00,true
SES00047,BUY00240,ORD000497,PROD0067,English,cancel_order,medium,resolved,2026-06-27T01:37:00+08:00,true
SES00048,BUY00246,ORD000180,PROD0073,English,cancel_order,medium,resolved,2026-04-28T23:48:00+08:00,true
SES00049,BUY00284,ORD000432,PROD0058,Thai,size_inquiry,low,resolved,2026-02-02T10:10:00+08:00,true
SES00050,BUY00112,ORD000474,PROD0035,Vietnamese,stock_inquiry,low,resolved,2026-04-27T08:55:00+08:00,true
SES00051,BUY00130,ORD000065,PROD0089,Vietnamese,complaint,high,transferred_to_human,2026-03-20T02:15:00+08:00,true
SES00052,BUY00026,ORD000183,PROD0093,Filipino,stock_inquiry,low,resolved,2026-02-01T18:26:00+08:00,true
SES00053,BUY00274,ORD000475,PROD0033,Filipino,complaint,high,resolved,2026-04-02T03:33:00+08:00,true
SES00054,BUY00284,ORD000209,PROD0049,English,stock_inquiry,low,resolved,2026-05-23T15:17:00+08:00,true
SES00055,BUY00112,ORD000384,PROD0098,Malay,complaint,high,resolved,2026-02-20T03:26:00+08:00,true
SES00056,BUY00220,ORD000444,PROD0073,English,refund_request,high,transferred_to_human,2026-04-13T07:38:00+08:00,true
SES00057,BUY00153,ORD000033,PROD0015,Filipino,size_inquiry,low,resolved,2026-02-27T16:42:00+08:00,true
SES00058,BUY00032,ORD000119,PROD0072,Indonesian,stock_inquiry,low,resolved,2026-05-08T19:24:00+08:00,true
SES00059,BUY00288,ORD000332,PROD0032,Malay,complaint,high,resolved,2026-05-28T07:39:00+08:00,true
SES00060,BUY00251,ORD000240,PROD0055,English,product_inquiry,low,resolved,2026-05-14T15:58:00+08:00,true
SES00061,BUY00098,ORD000325,PROD0097,English,logistics_query,low,resolved,2026-02-19T22:55:00+08:00,true
SES00062,BUY00244,ORD000093,PROD0021,Filipino,product_inquiry,low,resolved,2026-01-12T13:23:00+08:00,true
SES00063,BUY00074,ORD000118,PROD0031,English,order_query,low,resolved,2026-04-28T20:38:00+08:00,true
SES00064,BUY00103,ORD000302,PROD0074,Malay,complaint,high,resolved,2026-06-15T00:41:00+08:00,true
SES00065,BUY00002,ORD000484,PROD0052,Thai,product_recommendation,low,open,2026-05-27T15:00:00+08:00,true
SES00066,BUY00314,ORD000289,PROD0021,Filipino,refund_request,high,resolved,2026-04-07T02:32:00+08:00,true
SES00067,BUY00091,ORD000223,PROD0062,Malay,size_inquiry,low,resolved,2026-02-13T01:12:00+08:00,true
SES00068,BUY00170,ORD000172,PROD0079,English,complaint,high,transferred_to_human,2026-04-22T19:52:00+08:00,true
SES00069,BUY00053,ORD000041,PROD0035,Vietnamese,logistics_query,low,resolved,2026-05-22T07:09:00+08:00,true
SES00070,BUY00051,ORD000021,PROD0021,Filipino,order_query,low,resolved,2026-05-29T11:01:00+08:00,true
SES00071,BUY00199,ORD000459,PROD0008,Malay,cancel_order,medium,resolved,2026-05-30T22:01:00+08:00,true
SES00072,BUY00087,ORD000423,PROD0066,Indonesian,product_inquiry,low,transferred_to_human,2026-04-16T11:17:00+08:00,true
SES00073,BUY00090,ORD000165,PROD0017,Vietnamese,size_inquiry,low,resolved,2026-03-21T09:41:00+08:00,true
SES00074,BUY00128,ORD000244,PROD0006,Indonesian,size_inquiry,low,resolved,2026-03-09T23:56:00+08:00,true
SES00075,BUY00071,ORD000407,PROD0079,English,stock_inquiry,low,open,2026-02-07T09:41:00+08:00,true
SES00076,BUY00184,ORD000077,PROD0035,Vietnamese,complaint,high,resolved,2026-05-02T19:26:00+08:00,true
SES00077,BUY00234,ORD000012,PROD0006,Indonesian,product_recommendation,low,resolved,2026-01-18T21:45:00+08:00,true
SES00078,BUY00089,ORD000482,PROD0002,Malay,refund_request,high,open,2026-05-26T15:54:00+08:00,true
SES00079,BUY00186,ORD000362,PROD0063,Filipino,product_inquiry,low,resolved,2026-03-31T04:29:00+08:00,true
SES00080,BUY00017,ORD000084,PROD0024,Indonesian,product_inquiry,low,resolved,2026-03-21T10:29:00+08:00,true
SES00081,BUY00160,ORD000238,PROD0012,Indonesian,refund_request,high,resolved,2026-01-29T14:24:00+08:00,true
SES00082,BUY00262,ORD000401,PROD0047,Vietnamese,stock_inquiry,low,resolved,2026-03-22T06:13:00+08:00,true
SES00083,BUY00234,ORD000320,PROD0078,Indonesian,order_query,low,resolved,2026-01-15T00:11:00+08:00,true
SES00084,BUY00032,ORD000480,PROD0014,Malay,cancel_order,medium,transferred_to_human,2026-03-02T11:14:00+08:00,true
SES00085,BUY00276,ORD000181,PROD0087,Filipino,product_inquiry,low,resolved,2026-02-26T22:29:00+08:00,true
SES00086,BUY00103,ORD000224,PROD0067,English,order_query,low,open,2026-06-20T13:23:00+08:00,true
SES00087,BUY00001,ORD000042,PROD0042,Indonesian,complaint,high,resolved,2026-03-26T03:22:00+08:00,true
SES00088,BUY00243,ORD000099,PROD0057,Filipino,order_query,low,resolved,2026-06-08T09:22:00+08:00,true
SES00089,BUY00164,ORD000421,PROD0012,Indonesian,stock_inquiry,low,resolved,2026-02-10T05:44:00+08:00,true
SES00090,BUY00292,ORD000086,PROD0014,Malay,stock_inquiry,low,resolved,2026-03-11T03:34:00+08:00,true
SES00091,BUY00052,ORD000405,PROD0063,Filipino,order_query,low,resolved,2026-03-05T00:02:00+08:00,true
SES00092,BUY00122,ORD000015,PROD0069,Filipino,logistics_query,low,resolved,2026-04-03T14:23:00+08:00,true
SES00093,BUY00305,ORD000001,PROD0091,English,refund_request,high,resolved,2026-06-22T09:50:00+08:00,true
SES00094,BUY00279,ORD000133,PROD0082,Thai,refund_request,high,transferred_to_human,2026-06-04T07:35:00+08:00,true
SES00095,BUY00011,ORD000058,PROD0058,Thai,cancel_order,medium,resolved,2026-06-09T13:04:00+08:00,true
SES00096,BUY00260,ORD000411,PROD0027,Filipino,complaint,high,resolved,2026-01-15T14:01:00+08:00,true
SES00097,BUY00120,ORD000380,PROD0022,Thai,product_inquiry,low,resolved,2026-04-30T06:59:00+08:00,true
SES00098,BUY00092,ORD000219,PROD0015,Filipino,stock_inquiry,low,resolved,2026-02-11T05:38:00+08:00,true
SES00099,BUY00227,ORD000492,PROD0089,Vietnamese,cancel_order,medium,resolved,2026-03-03T01:34:00+08:00,true
SES00100,BUY00106,ORD000392,PROD0095,Vietnamese,order_query,low,resolved,2026-01-11T23:15:00+08:00,true
