trend_id,site,category_id,category_name,date,search_index,sales_index,competition_index,average_price,growth_rate,is_mock_data
TREND0000084,Singapore,CAT002,Home & Living,2026-05-24,69.57,76.34,83.57,52.70,-0.016259,true
TREND0000085,Singapore,CAT002,Home & Living,2026-05-25,70.74,76.93,83.15,52.63,0.016867,true
TREND0000086,Singapore,CAT002,Home & Living,2026-05-26,70.17,75.65,82.75,52.55,-0.008111,true
TREND0000087,Singapore,CAT002,Home & Living,2026-05-27,73.42,78.08,82.37,52.47,0.046393,true
TREND0000088,Singapore,CAT002,Home & Living,2026-05-28,72.90,76.65,82.03,52.37,-0.007122,true
TREND0000089,Singapore,CAT002,Home & Living,2026-05-29,74.55,77.34,81.73,52.28,0.022593,true
TREND0000090,Singapore,CAT002,Home & Living,2026-05-30,74.54,76.37,81.47,52.18,-0.000028,true
TREND0000091,Singapore,CAT002,Home & Living,2026-05-31,75.80,76.68,81.27,52.08,0.016865,true
TREND0000092,Singapore,CAT002,Home & Living,2026-06-01,79.94,79.95,81.12,51.97,0.054609,true
TREND0000093,Singapore,CAT002,Home & Living,2026-06-02,80.56,79.80,81.03,51.87,0.007798,true
TREND0000094,Singapore,CAT002,Home & Living,2026-06-03,78.18,76.78,81.00,51.77,-0.029562,true
TREND0000095,Singapore,CAT002,Home & Living,2026-06-04,83.03,81.17,81.03,51.66,0.062010,true
TREND0000096,Singapore,CAT002,Home & Living,2026-06-05,80.00,77.88,81.12,51.57,-0.036549,true
TREND0000097,Singapore,CAT002,Home & Living,2026-06-06,84.90,82.74,81.27,51.47,0.061360,true
TREND0000098,Singapore,CAT002,Home & Living,2026-06-07,84.29,82.31,81.48,51.38,-0.007250,true
TREND0000099,Singapore,CAT002,Home & Living,2026-06-08,81.84,80.28,81.74,51.29,-0.029030,true
TREND0000100,Singapore,CAT002,Home & Living,2026-06-09,85.05,84.14,82.04,51.22,0.039232,true
TREND0000101,Singapore,CAT002,Home & Living,2026-06-10,84.20,84.14,82.38,51.14,-0.009975,true
TREND0000102,Singapore,CAT002,Home & Living,2026-06-11,81.59,82.56,82.76,51.08,-0.031045,true
TREND0000103,Singapore,CAT002,Home & Living,2026-06-12,80.90,83.05,83.16,51.02,-0.008485,true
TREND0000104,Singapore,CAT002,Home & Living,2026-06-13,80.59,84.05,83.58,50.98,-0.003761,true
TREND0000105,Singapore,CAT002,Home & Living,2026-06-14,80.77,85.59,84.01,50.94,0.002142,true
TREND0000106,Singapore,CAT002,Home & Living,2026-06-15,81.13,87.35,84.43,50.91,0.004519,true
TREND0000107,Singapore,CAT002,Home & Living,2026-06-16,77.77,85.35,84.85,50.90,-0.041368,true
TREND0000108,Singapore,CAT002,Home & Living,2026-06-17,78.23,87.08,85.25,50.89,0.005873,true
TREND0000109,Singapore,CAT002,Home & Living,2026-06-18,75.09,85.08,85.63,50.90,-0.040128,true
TREND0000110,Singapore,CAT002,Home & Living,2026-06-19,76.48,87.43,85.97,50.91,0.018455,true
TREND0000111,Singapore,CAT002,Home & Living,2026-06-20,72.26,83.96,86.27,50.93,-0.055202,true
TREND0000112,Singapore,CAT002,Home & Living,2026-06-21,75.38,87.57,86.53,50.97,0.043182,true
TREND0000113,Singapore,CAT002,Home & Living,2026-06-22,72.77,85.17,86.73,51.01,-0.034621,true
TREND0000114,Singapore,CAT002,Home & Living,2026-06-23,73.43,85.75,86.88,51.07,0.009094,true
TREND0000115,Singapore,CAT002,Home & Living,2026-06-24,74.40,86.35,86.97,51.13,0.013277,true
TREND0000116,Singapore,CAT002,Home & Living,2026-06-25,73.15,84.43,87.00,51.20,-0.016784,true
TREND0000117,Singapore,CAT002,Home & Living,2026-06-26,71.53,81.86,86.97,51.27,-0.022193,true
TREND0000118,Singapore,CAT002,Home & Living,2026-06-27,72.41,81.55,86.88,51.36,0.012322,true
TREND0000119,Singapore,CAT002,Home & Living,2026-06-28,74.58,82.32,86.72,51.45,0.029976,true
TREND0000120,Singapore,CAT002,Home & Living,2026-06-29,71.36,77.53,86.52,51.54,-0.043260,true
TREND0000121,Singapore,CAT003,Beauty & Personal Care,2026-05-01,85.27,79.27,54.64,64.65,0.000000,true
TREND0000122,Singapore,CAT003,Beauty & Personal Care,2026-05-02,85.35,79.42,54.93,64.59,0.000964,true
TREND0000123,Singapore,CAT003,Beauty & Personal Care,2026-05-03,83.88,78.02,54.45,64.52,-0.017267,true
TREND0000124,Singapore,CAT003,Beauty & Personal Care,2026-05-04,85.14,79.35,55.33,64.46,0.015007,true
TREND0000125,Singapore,CAT003,Beauty & Personal Care,2026-05-05,84.18,78.46,55.11,64.39,-0.011313,true
TREND0000126,Singapore,CAT003,Beauty & Personal Care,2026-05-06,82.67,77.02,54.61,64.33,-0.017915,true
TREND0000127,Singapore,CAT003,Beauty & Personal Care,2026-05-07,80.08,74.50,53.57,64.26,-0.031313,true
TREND0000128,Singapore,CAT003,Beauty & Personal Care,2026-05-08,78.76,73.25,53.16,64.20,-0.016522,true
TREND0000129,Singapore,CAT003,Beauty & Personal Care,2026-05-09,78.11,72.67,53.09,64.13,-0.008247,true
TREND0000130,Singapore,CAT003,Beauty & Personal Care,2026-05-10,78.13,72.76,53.36,64.07,0.000354,true
TREND0000131,Singapore,CAT003,Beauty & Personal Care,2026-05-11,78.58,73.28,53.84,64.00,0.005634,true
TREND0000132,Singapore,CAT003,Beauty & Personal Care,2026-05-12,77.69,72.46,53.65,63.94,-0.011221,true
TREND0000133,Singapore,CAT003,Beauty & Personal Care,2026-05-13,77.22,72.06,53.67,63.87,-0.006103,true
TREND0000134,Singapore,CAT003,Beauty & Personal Care,2026-05-14,77.62,72.53,54.12,63.81,0.005131,true
TREND0000135,Singapore,CAT003,Beauty & Personal Care,2026-05-15,75.44,70.42,53.29,63.74,-0.028020,true
TREND0000136,Singapore,CAT003,Beauty & Personal Care,2026-05-16,72.54,67.59,52.10,63.68,-0.038407,true
TREND0000137,Singapore,CAT003,Beauty & Personal Care,2026-05-17,74.47,69.59,53.32,63.62,0.026614,true
TREND0000138,Singapore,CAT003,Beauty & Personal Care,2026-05-18,75.39,70.58,54.03,63.55,0.012328,true
TREND0000139,Singapore,CAT003,Beauty & Personal Care,2026-05-19,72.82,68.08,53.00,63.49,-0.034095,true
TREND0000140,Singapore,CAT003,Beauty & Personal Care,2026-05-20,70.52,65.85,52.10,63.42,-0.031666,true
TREND0000141,Singapore,CAT003,Beauty & Personal Care,2026-05-21,68.67,64.07,51.44,63.36,-0.026101,true
TREND0000142,Singapore,CAT003,Beauty & Personal Care,2026-05-22,69.27,64.74,51.99,63.29,0.008632,true
TREND0000143,Singapore,CAT003,Beauty & Personal Care,2026-05-23,67.50,63.04,51.36,63.23,-0.025525,true
TREND0000144,Singapore,CAT003,Beauty & Personal Care,2026-05-24,69.64,65.25,52.69,63.16,0.031740,true
TREND0000145,Singapore,CAT003,Beauty & Personal Care,2026-05-25,66.64,62.32,51.44,63.10,-0.043086,true
TREND0000146,Singapore,CAT003,Beauty & Personal Care,2026-05-26,67.15,62.90,51.95,63.03,0.007565,true
TREND0000147,Singapore,CAT003,Beauty & Personal Care,2026-05-27,65.43,61.25,51.35,62.97,-0.025526,true
TREND0000148,Singapore,CAT003,Beauty & Personal Care,2026-05-28,64.58,60.47,51.18,62.90,-0.012997,true
TREND0000149,Singapore,CAT003,Beauty & Personal Care,2026-05-29,67.22,63.18,52.75,62.84,0.040921,true
TREND0000150,Singapore,CAT003,Beauty & Personal Care,2026-05-30,62.63,58.66,50.71,62.78,-0.068292,true
TREND0000151,Singapore,CAT003,Beauty & Personal Care,2026-05-31,65.57,61.67,52.43,62.71,0.046841,true
TREND0000152,Singapore,CAT003,Beauty & Personal Care,2026-06-01,61.76,57.93,50.79,62.65,-0.058008,true
TREND0000153,Singapore,CAT003,Beauty & Personal Care,2026-06-02,60.20,56.44,50.26,62.58,-0.025250,true
TREND0000154,Singapore,CAT003,Beauty & Personal Care,2026-06-03,60.15,56.46,50.49,62.52,-0.000976,true
TREND0000155,Singapore,CAT003,Beauty & Personal Care,2026-06-04,59.30,55.68,50.32,62.45,-0.013991,true
TREND0000156,Singapore,CAT003,Beauty & Personal Care,2026-06-05,59.57,56.02,50.71,62.39,0.004521,true
TREND0000157,Singapore,CAT003,Beauty & Personal Care,2026-06-06,60.49,57.01,51.43,62.32,0.015441,true
TREND0000158,Singapore,CAT003,Beauty & Personal Care,2026-06-07,56.62,53.21,49.74,62.26,-0.064034,true
TREND0000159,Singapore,CAT003,Beauty & Personal Care,2026-06-08,59.49,56.15,51.44,62.19,0.050785,true
TREND0000160,Singapore,CAT003,Beauty & Personal Care,2026-06-09,54.86,51.59,49.38,62.13,-0.077826,true
TREND0000161,Singapore,CAT003,Beauty & Personal Care,2026-06-10,55.59,52.39,49.99,62.06,0.013231,true
TREND0000162,Singapore,CAT003,Beauty & Personal Care,2026-06-11,56.06,52.93,50.49,62.00,0.008500,true
TREND0000163,Singapore,CAT003,Beauty & Personal Care,2026-06-12,56.59,53.53,51.01,61.93,0.009435,true
TREND0000164,Singapore,CAT003,Beauty & Personal Care,2026-06-13,56.09,53.10,51.01,61.87,-0.008832,true
TREND0000165,Singapore,CAT003,Beauty & Personal Care,2026-06-14,53.08,50.16,49.76,61.81,-0.053648,true
TREND0000166,Singapore,CAT003,Beauty & Personal Care,2026-06-15,51.64,48.79,49.29,61.74,-0.027189,true
TREND0000167,Singapore,CAT003,Beauty & Personal Care,2026-06-16,49.62,46.84,48.54,61.68,-0.039110,true
TREND0000168,Singapore,CAT003,Beauty & Personal Care,2026-06-17,52.09,49.38,50.03,61.61,0.049828,true
TREND0000169,Singapore,CAT003,Beauty & Personal Care,2026-06-18,51.55,48.91,50.01,61.55,-0.010450,true
TREND0000170,Singapore,CAT003,Beauty & Personal Care,2026-06-19,47.78,45.21,48.38,61.48,-0.073099,true
TREND0000171,Singapore,CAT003,Beauty & Personal Care,2026-06-20,46.53,44.03,48.02,61.42,-0.026054,true
TREND0000172,Singapore,CAT003,Beauty & Personal Care,2026-06-21,49.87,47.44,49.94,61.35,0.071776,true
TREND0000173,Singapore,CAT003,Beauty & Personal Care,2026-06-22,48.86,46.50,49.69,61.29,-0.020345,true
TREND0000174,Singapore,CAT003,Beauty & Personal Care,2026-06-23,44.22,41.93,47.63,61.22,-0.094941,true
TREND0000175,Singapore,CAT003,Beauty & Personal Care,2026-06-24,44.00,41.78,47.77,61.16,-0.005011,true
TREND0000176,Singapore,CAT003,Beauty & Personal Care,2026-06-25,43.45,41.30,47.75,61.09,-0.012500,true
TREND0000177,Singapore,CAT003,Beauty & Personal Care,2026-06-26,46.31,44.23,49.44,61.03,0.065935,true
TREND0000178,Singapore,CAT003,Beauty & Personal Care,2026-06-27,43.56,41.55,48.31,60.96,-0.059487,true
TREND0000179,Singapore,CAT003,Beauty & Personal Care,2026-06-28,42.13,40.19,47.86,60.90,-0.032780,true
TREND0000180,Singapore,CAT003,Beauty & Personal Care,2026-06-29,44.24,42.37,49.17,60.84,0.050128,true
TREND0000181,Singapore,CAT004,Fashion Accessories,2026-05-01,56.14,45.40,48.00,32.51,0.000000,true
TREND0000182,Singapore,CAT004,Fashion Accessories,2026-05-02,64.65,53.27,48.89,32.65,0.151486,true
TREND0000183,Singapore,CAT004,Fashion Accessories,2026-05-03,64.89,53.29,49.76,32.79,0.003787,true
TREND0000184,Singapore,CAT004,Fashion Accessories,2026-05-04,71.29,59.89,50.62,32.93,0.098572,true
TREND0000185,Singapore,CAT004,Fashion Accessories,2026-05-05,73.33,62.54,51.44,33.06,0.028604,true
TREND0000186,Singapore,CAT004,Fashion Accessories,2026-05-06,78.34,68.55,52.22,33.18,0.068377,true
TREND0000187,Singapore,CAT004,Fashion Accessories,2026-05-07,76.60,68.14,52.95,33.29,-0.022189,true
TREND0000188,Singapore,CAT004,Fashion Accessories,2026-05-08,77.39,70.52,53.61,33.38,0.010208,true
TREND0000189,Singapore,CAT004,Fashion Accessories,2026-05-09,76.77,71.69,54.21,33.47,-0.007995,true
TREND0000190,Singapore,CAT004,Fashion Accessories,2026-05-10,73.70,70.52,54.73,33.54,-0.039922,true
TREND0000191,Singapore,CAT004,Fashion Accessories,2026-05-11,74.32,73.03,55.17,33.59,0.008327,true
TREND0000192,Singapore,CAT004,Fashion Accessories,2026-05-12,69.41,69.94,55.52,33.63,-0.066020,true
TREND0000193,Singapore,CAT004,Fashion Accessories,2026-05-13,69.00,71.17,55.78,33.64,-0.005957,true
TREND0000194,Singapore,CAT004,Fashion Accessories,2026-05-14,64.83,68.39,55.94,33.65,-0.060361,true
TREND0000195,Singapore,CAT004,Fashion Accessories,2026-05-15,59.44,64.06,56.00,33.63,-0.083151,true
TREND0000196,Singapore,CAT004,Fashion Accessories,2026-05-16,54.04,59.36,55.96,33.60,-0.090812,true
TREND0000197,Singapore,CAT004,Fashion Accessories,2026-05-17,49.55,55.14,55.83,33.54,-0.083233,true
TREND0000198,Singapore,CAT004,Fashion Accessories,2026-05-18,45.23,50.68,55.60,33.48,-0.087182,true
TREND0000199,Singapore,CAT004,Fashion Accessories,2026-05-19,42.43,47.33,55.27,33.40,-0.061825,true
TREND0000200,Singapore,CAT004,Fashion Accessories,2026-05-20,42.27,46.22,54.86,33.30,-0.003801,true
TREND0000201,Singapore,CAT004,Fashion Accessories,2026-05-21,39.13,41.80,54.36,33.19,-0.074202,true
TREND0000202,Singapore,CAT004,Fashion Accessories,2026-05-22,37.04,38.14,53.78,33.07,-0.053521,true
TREND0000203,Singapore,CAT004,Fashion Accessories,2026-05-23,39.24,38.57,53.14,32.94,0.059507,true
TREND0000204,Singapore,CAT004,Fashion Accessories,2026-05-24,39.56,37.01,52.42,32.81,0.008089,true
TREND0000205,Singapore,CAT004,Fashion Accessories,2026-05-25,41.01,36.55,51.66,32.67,0.036560,true
TREND0000206,Singapore,CAT004,Fashion Accessories,2026-05-26,42.90,36.62,50.85,32.53,0.046239,true
TREND0000207,Singapore,CAT004,Fashion Accessories,2026-05-27,47.83,39.88,50.00,32.39,0.114974,true
TREND0000208,Singapore,CAT004,Fashion Accessories,2026-05-28,51.55,42.17,49.13,32.25,0.077779,true
TREND0000209,Singapore,CAT004,Fashion Accessories,2026-05-29,59.07,48.57,48.24,32.11,0.145706,true
TREND0000210,Singapore,CAT004,Fashion Accessories,2026-05-30,60.01,48.77,47.36,31.98,0.016022,true
TREND0000211,Singapore,CAT004,Fashion Accessories,2026-05-31,64.48,52.90,46.48,31.86,0.074433,true
TREND0000212,Singapore,CAT004,Fashion Accessories,2026-06-01,70.98,59.48,45.61,31.75,0.100798,true
TREND0000213,Singapore,CAT004,Fashion Accessories,2026-06-02,75.21,64.21,44.78,31.65,0.059566,true
TREND0000214,Singapore,CAT004,Fashion Accessories,2026-06-03,72.92,62.82,43.99,31.56,-0.030372,true
TREND0000215,Singapore,CAT004,Fashion Accessories,2026-06-04,75.03,66.17,43.25,31.49,0.028842,true
TREND0000216,Singapore,CAT004,Fashion Accessories,2026-06-05,76.80,69.47,42.56,31.44,0.023638,true
TREND0000217,Singapore,CAT004,Fashion Accessories,2026-06-06,79.77,74.19,41.95,31.40,0.038669,true
TREND0000218,Singapore,CAT004,Fashion Accessories,2026-06-07,76.66,72.94,41.40,31.38,-0.039029,true
TREND0000219,Singapore,CAT004,Fashion Accessories,2026-06-08,74.92,73.11,40.94,31.37,-0.022681,true
TREND0000220,Singapore,CAT004,Fashion Accessories,2026-06-09,69.36,69.40,40.57,31.39,-0.074197,true
TREND0000221,Singapore,CAT004,Fashion Accessories,2026-06-10,67.14,68.88,40.29,31.42,-0.031980,true
TREND0000222,Singapore,CAT004,Fashion Accessories,2026-06-11,66.41,69.62,40.10,31.47,-0.010807,true
TREND0000223,Singapore,CAT004,Fashion Accessories,2026-06-12,61.87,66.23,40.01,31.53,-0.068477,true
TREND0000224,Singapore,CAT004,Fashion Accessories,2026-06-13,55.36,60.53,40.02,31.61,-0.105123,true
TREND0000225,Singapore,CAT004,Fashion Accessories,2026-06-14,50.46,56.02,40.12,31.71,-0.088521,true
TREND0000226,Singapore,CAT004,Fashion Accessories,2026-06-15,48.20,53.73,40.33,31.81,-0.044886,true
TREND0000227,Singapore,CAT004,Fashion Accessories,2026-06-16,43.42,48.51,40.63,31.93,-0.099117,true
TREND0000228,Singapore,CAT004,Fashion Accessories,2026-06-17,42.26,46.50,41.02,32.06,-0.026803,true
TREND0000229,Singapore,CAT004,Fashion Accessories,2026-06-18,41.32,44.37,41.49,32.19,-0.022098,true
TREND0000230,Singapore,CAT004,Fashion Accessories,2026-06-19,37.95,39.50,42.05,32.33,-0.081651,true
TREND0000231,Singapore,CAT004,Fashion Accessories,2026-06-20,37.55,37.38,42.68,32.47,-0.010488,true
TREND0000232,Singapore,CAT004,Fashion Accessories,2026-06-21,38.95,36.92,43.37,32.61,0.037326,true
TREND0000233,Singapore,CAT004,Fashion Accessories,2026-06-22,42.21,38.28,44.13,32.75,0.083661,true
TREND0000234,Singapore,CAT004,Fashion Accessories,2026-06-23,44.63,38.84,44.93,32.89,0.057413,true
TREND0000235,Singapore,CAT004,Fashion Accessories,2026-06-24,47.72,40.20,45.76,33.02,0.069070,true
TREND0000236,Singapore,CAT004,Fashion Accessories,2026-06-25,49.28,40.26,46.63,33.14,0.032696,true
TREND0000237,Singapore,CAT004,Fashion Accessories,2026-06-26,56.84,46.61,47.51,33.26,0.153450,true
TREND0000238,Singapore,CAT004,Fashion Accessories,2026-06-27,58.42,47.35,48.40,33.36,0.027845,true
TREND0000239,Singapore,CAT004,Fashion Accessories,2026-06-28,62.65,51.12,49.28,33.45,0.072342,true
TREND0000240,Singapore,CAT004,Fashion Accessories,2026-06-29,66.27,54.71,50.15,33.52,0.057791,true
TREND0000241,Singapore,CAT005,Sports & Outdoors,2026-05-01,66.86,70.86,60.43,52.33,0.000000,true
TREND0000242,Singapore,CAT005,Sports & Outdoors,2026-05-02,67.02,70.72,60.81,52.54,0.002417,true
TREND0000243,Singapore,CAT005,Sports & Outdoors,2026-05-03,67.01,70.41,61.09,52.75,-0.000264,true
TREND0000244,Singapore,CAT005,Sports & Outdoors,2026-05-04,66.17,69.27,60.97,52.96,-0.012548,true
TREND0000245,Singapore,CAT005,Sports & Outdoors,2026-05-05,64.58,67.38,60.47,53.17,-0.023962,true
TREND0000246,Singapore,CAT005,Sports & Outdoors,2026-05-06,67.30,69.80,62.13,53.38,0.042138,true
TREND0000247,Singapore,CAT005,Sports & Outdoors,2026-05-07,64.01,66.21,60.78,53.59,-0.048912,true
